sku,img,undefined,title,brand,web,cat1,cat2,price,saleprice,isonsale,stock,size,list
1HB103#486-patriotblue#S,1HB103_486,"39990,00",Fundango Sierra Pants 486-patriotblue férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,39990,0,"1,00",S,[object Object]
1HB103#520-lime#S,1HB103_520,"39990,00",Fundango Sierra Pants 520-lime férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,39990,0,"1,00",S,[object Object]
1HB104#240-mustard#M,1HB104_240,"39990,00",Fundango Sierra Colourblock Pants 240-mmustard férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,39990,0,"2,00",M,"[object Object],[object Object],[object Object]"
1HB104#575-rock#L,1HB104_575,"39990,00",Fundango Sierra Colourblock Pants 575-rock férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,39990,0,"2,00",L,"[object Object],[object Object],[object Object],[object Object],[object Object]"
1HB104#587-earth#S,1HB104_587,"39990,00",Fundango Sierra Colourblock Pants 587-earth férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,39990,0,"1,00",S,"[object Object],[object Object]"
1HB104#893-blackcamoufl#XL,1HB104_893,"39990,00",Fundango Sierra Colourblock Pants 893-black-camouflage férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,49990,39990,0,"2,00",XL,[object Object]
1HB105#486-patrblue#L,1HB105_486,"32390,00",Fundango ROB Softshell Pants 486-patriot blue férfi softshell sínadrág,Fundango,www.fundangosports.com,Softshell nadrág,Ruházat,39990,32390,0,"1,00",L,"[object Object],[object Object],[object Object]"
1HB105#590-oliv#L,1HB105_590,"32390,00",Fundango ROB Softshell Pants 590-oliv férfi softshell sínadrág,Fundango,www.fundangosports.com,Softshell nadrág,Ruházat,39990,32390,0,"1,00",L,"[object Object],[object Object],[object Object]"
1HB105#890-black#L,1HB105_890,"32390,00",Fundango ROB Softshell Pants 890-black férfi softshell sínadrág,Fundango,www.fundangosports.com,Softshell nadrág,Ruházat,39990,32390,0,"1,00",L,"[object Object],[object Object]"
1HZ101#486-patriot blue#S,1HZ101_486,"37990,00",Fundango TEAK Pants 486-patriot blue férfi sínadrág,Fundango,www.fundangosports.com,Sínadrág,Ruházat,47990,37990,0,"1,00",S,[object Object]
1HZ104#486-patriot blue#M,1HZ104_486,"31990,00",Fundango ARTANE 3L Shell Pants 486-patriot blue férfi softshell sínadrág,Fundango,www.fundangosports.com,Softshell nadrág,Ruházat,39990,31990,0,"1,00",M,"[object Object],[object Object],[object Object]"
